City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
arman,RU,-12.87,96,100,12.28,59.7,150.1667,1673721335
saint-georges,GD,83.88,70,20,17.27,12.0564,-61.7485,1673721335
pitkyaranta,RU,32.23,98,100,16.06,61.5734,31.4792,1673721189
alenquer,BR,80.55,79,100,6.49,-1.9417,-54.7383,1673721335
price,US,29.46,69,75,0.0,39.5994,-110.8107,1673721335
campbell river,CA,47.73,100,100,8.05,50.0163,-125.2446,1673721336
ust-tsilma,RU,28.65,94,100,8.97,65.441,52.1498,1673721336
aleksandrov gay,RU,17.22,60,3,12.82,50.147,48.5704,1673721337
port lincoln,AU,61.32,67,100,16.31,-34.7333,135.8667,1673721337
turukhansk,RU,-33.92,90,64,8.41,65.8167,87.9833,1673721337
la ronge,CA,14.25,85,100,10.36,55.1001,-105.2842,1673721337
alta floresta,BR,75.78,95,100,2.77,-9.8756,-56.0861,1673721338
norton,ZW,65.25,83,79,3.65,-17.8833,30.7,1673721338
hamilton,US,36.19,65,75,11.5,39.1834,-84.5333,1673721241
cap malheureux,MU,78.48,69,50,5.01,-19.9842,57.6142,1673721068
dingle,PH,73.53,97,100,3.02,10.9995,122.6711,1673721338
sindor,RU,24.76,95,100,9.86,62.8629,51.8905,1673721338
sarangani,PH,80.89,81,96,14.9,5.4033,125.4636,1673721339
thyboron,DK,41.14,95,100,22.21,56.6985,8.2124,1673721339
sosua,DO,86.23,78,40,18.41,19.7667,-70.5167,1673721339
amursk,RU,-23.67,100,79,4.03,50.2261,136.8994,1673721340
coquimbo,CL,69.53,64,20,14.97,-29.9533,-71.3436,1673721177
lihula,EE,37.89,93,100,14.12,58.6814,23.8453,1673721340
ayan,RU,-25.24,65,2,20.58,56.45,138.1667,1673721340
malakal,SS,78.96,21,0,5.79,9.5334,31.6605,1673721341
marshall,US,41.09,57,75,10.36,34.3834,-86.3333,1673721060
katobu,ID,75.74,90,100,1.9,-4.9408,122.5276,1673721341
nome,US,12.27,67,100,11.5,64.5011,-165.4064,1673721341
aklavik,CA,-9.4,84,75,3.44,68.2191,-135.0107,1673721341
carmen,MX,73.44,60,75,9.22,18.6333,-91.8333,1673721342
tarko-sale,RU,-20.16,100,63,6.22,64.9225,77.785,1673721342
lensk,RU,-34.58,99,100,2.46,60.7253,114.9278,1673721193
jaru,BR,79.93,82,100,2.15,-10.4389,-62.4664,1673721342
bati,ET,62.51,56,19,2.53,11.1833,40.0167,1673721342
estevan,CA,32.34,93,75,10.36,49.1334,-102.9842,1673721343
pakaur,IN,62.51,55,0,3.22,24.6333,87.85,1673721343
santa cruz,BO,75.25,69,75,9.22,-17.8,-63.1667,1673721281
bayshore gardens,US,57.97,56,40,14.97,27.4253,-82.5904,1673721343
genhe,CN,-22.07,99,98,3.11,50.7833,121.5167,1673721343
chicama,PE,72.14,54,18,11.61,-7.8447,-79.1469,1673721344
manta,EC,83.98,65,20,12.66,-0.95,-80.7333,1673721344
daru,PG,77.13,87,79,1.77,-9.0763,143.2092,1673721344
vanavara,RU,-52.51,100,95,2.89,60.34,102.2797,1673721344
kapra,IN,65.1,46,26,2.73,17.4846,78.561,1673721345
saint-joseph,RE,77.38,77,25,10.2,-21.3667,55.6167,1673721345
koumac,NC,77.0,75,18,3.56,-20.5667,164.2833,1673721345
margate,GB,46.9,71,100,4.0,51.3813,1.3862,1673721346
panlaitan,PH,79.16,84,100,15.55,12.1191,119.8486,1673721346
watertown,US,35.06,89,100,10.36,42.3709,-71.1828,1673721346
jalor,IN,48.97,23,0,6.17,25.35,72.6167,1673721346
puerto baquerizo moreno,EC,81.59,69,40,10.36,-0.9,-89.6,1673721347
sakakah,SA,47.77,68,0,6.8,29.9697,40.2064,1673721347
souillac,MU,79.18,78,40,10.36,-20.5167,57.5167,1673721347
pinega,RU,30.34,96,100,10.11,64.7001,43.3936,1673721347
millinocket,US,28.51,86,100,10.36,45.6573,-68.7098,1673721348
voi,KE,73.31,70,5,5.41,-3.3945,38.563,1673721348
mandalgovi,MN,-3.19,57,0,9.78,45.7625,106.2708,1673721348
iseyin,NG,84.56,17,52,2.44,7.9667,3.6,1673721349
mogocha,RU,-19.86,98,100,2.59,53.7333,119.7667,1673721349
aksarka,RU,2.25,96,98,6.2,66.5606,67.7975,1673721349
bud,US,32.34,77,2,6.08,39.447,-86.1758,1673721349
wiarton,CA,22.03,73,20,4.61,44.7407,-81.1332,1673721350
jumla,NP,34.54,41,79,4.03,29.2747,82.1838,1673721350
sao felix do xingu,BR,81.16,88,100,0.58,-6.6447,-51.995,1673721218
cockburn town,TC,78.76,73,40,8.05,21.4612,-71.1419,1673721350
mojo,ET,61.54,49,2,8.93,8.6,39.1167,1673721350
henties bay,NA,64.58,89,46,3.58,-22.116,14.2845,1673721351
meulaboh,ID,75.29,89,100,3.18,4.1363,96.1285,1673721351
acarau,BR,84.88,64,78,19.06,-2.8856,-40.12,1673721351
college,US,-12.93,76,20,0.0,64.8569,-147.8028,1673721352
kilrush,IE,38.95,65,21,28.45,52.6397,-9.4833,1673721352
caraz,PE,67.42,74,87,7.92,-9.0486,-77.81,1673721352
khandbari,NP,48.34,59,0,3.38,27.3747,87.2039,1673721352
clyde river,CA,-19.97,69,100,11.5,70.4692,-68.5914,1673721353
sicuani,PE,65.35,19,0,6.15,-14.2694,-71.2261,1673721353
keflavik,IS,21.63,63,0,6.91,64.0049,-22.5624,1673721353
riyadh,SA,57.34,79,0,11.5,24.6877,46.7219,1673721314
saint george,US,43.39,75,75,9.22,37.1041,-113.5841,1673721353
muros,ES,59.85,83,98,22.44,42.7762,-9.0603,1673721315
goderich,CA,26.91,68,3,12.66,43.7501,-81.7165,1673721354
kamen-rybolov,RU,-11.78,96,100,0.31,44.7481,132.0403,1673721354
porbandar,IN,63.82,43,0,11.97,21.6422,69.6093,1673721354
pacifica,US,58.62,93,100,26.46,37.6138,-122.4869,1673721354
rocky mountain house,CA,17.71,86,93,0.0,52.3668,-114.9188,1673721355
leshukonskoye,RU,29.16,94,100,9.26,64.8989,45.7622,1673721355
palmer,US,34.47,69,100,17.27,42.1584,-72.3287,1673721355
hami,CN,7.72,43,5,0.76,42.8,93.45,1673721356
danjiangkou,CN,33.94,46,93,10.27,32.5428,111.5086,1673721356
kafue,ZM,67.12,95,100,3.49,-15.7691,28.1814,1673721356
ust-nera,RU,-32.24,99,100,4.94,64.5667,143.2,1673721356
stuttgart,DE,53.76,76,0,9.22,48.7823,9.177,1673721357
isangel,VU,77.49,79,11,10.09,-19.55,169.2667,1673721357
luganville,VU,76.19,90,96,2.01,-15.5333,167.1667,1673721357
ola,RU,-9.98,98,100,13.27,59.5833,151.2833,1673721358
otofuke,JP,19.0,73,100,8.34,42.9917,143.2003,1673721358
igarka,RU,-39.42,96,64,4.16,67.4667,86.5833,1673721358
kitui,KE,64.56,60,8,4.85,-1.367,38.0106,1673721358
kerman,IR,35.46,69,0,0.0,30.2832,57.0788,1673721359
machinga,MW,68.94,93,100,2.19,-15.1685,35.3,1673721359
san andres,CO,84.22,65,20,12.66,12.5847,-81.7006,1673721359
cabo san lucas,MX,80.62,59,0,3.44,22.8909,-109.9124,1673721189
mayya,RU,-56.88,100,95,2.57,61.7333,130.2811,1673721359
bichena,ET,57.7,46,7,6.2,10.45,38.2,1673721360
kalevala,RU,33.31,99,100,6.96,65.2,31.1667,1673721360
ketchikan,US,43.27,100,100,6.91,55.3422,-131.6461,1673721360
nagod,IN,54.03,77,0,5.66,24.5667,80.6,1673721361
korla,CN,9.66,95,100,1.43,41.7597,86.1469,1673721361
inyonga,TZ,65.03,93,100,2.46,-6.7167,32.0667,1673721361
touros,BR,83.12,65,100,15.86,-5.1989,-35.4608,1673721328
rio cuarto,AR,88.34,30,20,6.91,-33.1307,-64.3499,1673721362
kashary,RU,23.5,83,100,16.02,49.04,41.0056,1673721362
yerbogachen,RU,-60.7,100,69,1.05,61.2767,108.0108,1673721363
bossangoa,CF,78.78,21,11,4.21,6.4926,17.4552,1673721363
abatskoye,RU,12.81,93,94,11.5,56.2875,70.4555,1673721363
silale,LT,40.06,88,100,10.87,55.4906,22.1814,1673721357
faya,SA,55.51,81,100,4.72,18.3851,42.4509,1673721364
sisimiut,GL,10.69,65,21,15.7,66.9395,-53.6735,1673721365
ulaangom,MN,-21.69,98,96,2.37,49.9811,92.0667,1673721365
jining,CN,22.35,35,18,8.63,35.405,116.5814,1673721365
fasa,IR,47.44,81,40,0.0,28.9383,53.6482,1673721366
matagami,CA,3.31,78,75,0.0,49.7502,-77.6328,1673721366
pervoye maya,RU,16.05,87,98,11.54,56.164,44.7196,1673721366
salamiyah,SY,46.65,80,64,5.14,35.0113,37.0532,1673721368
abu kamal,SY,50.22,79,60,5.73,34.4506,40.9171,1673721369
mobaye,CF,77.36,34,19,2.71,4.319,21.1786,1673721369
hammerfest,NO,28.85,69,10,5.75,70.6634,23.6821,1673721369
quepos,CR,83.59,66,65,6.02,9.4236,-84.1652,1673721370
brae,GB,41.47,82,100,27.16,60.3964,-1.353,1673721371
arklow,IE,40.08,77,15,22.59,52.7931,-6.1414,1673721372
marzuq,YE,60.89,81,5,6.91,14.4,46.4667,1673721373
dicabisagan,PH,73.9,90,41,1.72,17.0818,122.4157,1673721373
kultuk,RU,-3.01,84,89,5.39,51.7208,103.6956,1673721374
kingman,US,57.74,36,20,12.66,35.1894,-114.053,1673721126
szczecin,PL,46.29,90,100,18.01,53.4289,14.553,1673721374
umm kaddadah,SD,63.9,23,100,12.86,13.6017,26.6876,1673721374
inhambane,MZ,80.58,83,40,5.75,-23.865,35.3833,1673721375
batangafo,CF,79.65,20,17,3.62,7.3008,18.2833,1673721376
zavet,BG,39.42,89,100,2.84,43.7667,26.6667,1673721376
vulcana bai,RO,37.17,99,99,1.63,45.0833,25.3833,1673721377
oranjestad,AW,82.35,74,75,12.66,12.524,-70.027,1673721377
bayonet point,US,54.03,67,6,8.01,28.3267,-82.6834,1673721377
darnah,LY,58.33,68,100,8.95,32.767,22.6367,1673721377
arawa,PG,76.21,90,100,3.6,-6.2132,155.5367,1673721378
changchun,CN,-11.24,85,1,1.52,43.88,125.3228,1673721378
codrington,AU,60.55,63,99,16.98,-38.2667,141.9667,1673721379
hualmay,PE,74.77,69,44,10.22,-11.0964,-77.6139,1673721379
makakilo city,US,71.62,83,0,5.75,21.3469,-158.0858,1673721379
yongzhou,CN,38.75,70,100,11.83,26.4559,111.5988,1673721380
hellin,ES,48.15,53,0,1.28,38.5106,-1.701,1673721381
banapur,IN,69.55,82,0,4.29,19.7833,85.1833,1673721381
ermelo,ZA,58.82,83,6,6.22,-26.5333,29.9833,1673721205
damara,CF,80.51,24,73,2.51,4.9608,18.7035,1673721382
nizwa,OM,65.21,47,10,1.83,22.9333,57.5333,1673721382
jaciara,BR,77.04,88,100,2.77,-15.9653,-54.9683,1673721383
shahdadkot,PK,49.06,15,0,3.6,27.8477,67.9055,1673721383
bela,IN,55.27,80,0,9.06,25.9333,81.9833,1673721384
elban,RU,-24.27,100,93,2.1,50.1018,136.5094,1673721384
san rafael del sur,NI,88.77,31,21,16.93,11.8485,-86.4384,1673721384
monywa,MM,63.5,56,0,5.21,22.1167,95.1333,1673721385
uaua,BR,93.29,28,30,7.52,-9.8414,-39.4817,1673721173
martapura,ID,77.09,100,100,1.14,-3.4167,114.85,1673721385
shelton,US,35.53,73,100,19.57,41.3165,-73.0932,1673721362
belmira,CO,62.96,73,89,0.74,6.6051,-75.6662,1673721386
ucluelet,CA,50.09,94,100,9.84,48.9329,-125.5528,1673721386
vinkovci,HR,38.25,93,0,5.75,45.2883,18.8047,1673721386
oga,IT,32.54,74,93,4.47,46.4631,10.347,1673721387
salinopolis,BR,82.13,73,99,9.15,-0.6136,-47.3561,1673721387
plettenberg bay,ZA,66.88,84,9,2.46,-34.0527,23.3716,1673721387
xunchang,CN,34.84,97,100,4.65,28.4543,104.715,1673721388
umba,RU,32.94,99,100,9.66,66.6871,34.3429,1673721389
thurso,GB,39.85,97,100,21.79,58.5927,-3.5259,1673721389
sao joaquim,BR,69.21,85,28,2.21,-28.2939,-49.9317,1673721280
bahia blanca,AR,100.29,10,0,1.99,-38.7196,-62.2724,1673721390
jimenez,MX,70.75,16,0,9.57,28.3333,-105.4,1673721390
sciacca,IT,54.64,83,100,10.07,37.5082,13.0881,1673721390
outjo,NA,82.2,29,100,5.39,-20.1167,16.15,1673721391
kudahuvadhoo,MV,80.04,69,79,7.0,2.6708,72.8944,1673721391
miramar,US,60.03,49,0,19.57,25.9873,-80.2323,1673721391
bombay,IN,67.98,52,5,4.61,19.0144,72.8479,1673721368
odweyne,SO,69.42,64,1,7.29,9.4092,45.064,1673721392
kaeo,NZ,62.33,93,19,8.66,-35.1,173.7833,1673721392
okha,RU,-22.9,85,1,12.37,53.5739,142.9478,1673721392
raton,US,57.54,22,0,0.0,36.9034,-104.4391,1673721392
ilulissat,GL,6.82,47,75,2.3,69.2167,-51.1,1673721393
mandera,KE,84.47,28,100,9.42,3.9366,41.867,1673721393
saint anthony,US,30.29,77,0,13.8,45.0205,-93.218,1673721393
killybegs,IE,38.91,62,58,29.71,54.6333,-8.45,1673721393
cervo,ES,59.45,73,100,23.47,43.6702,-7.4101,1673721394
evensk,RU,9.43,64,100,20.31,61.95,159.2333,1673721394
peleduy,RU,-25.74,98,100,2.77,59.6289,112.7406,1673721394
bitung,ID,81.45,81,92,3.0,1.4451,125.1824,1673721395
porto walter,BR,87.37,51,100,6.93,-8.2686,-72.7439,1673721395
west bay,KY,80.67,55,20,13.8,19.3667,-81.4167,1673721395
ribeira brava,PT,65.03,76,60,1.72,32.65,-17.0667,1673721396
shubarkuduk,KZ,3.42,96,27,5.66,49.1447,56.4872,1673721396
verkhoyansk,RU,-47.0,99,100,1.97,67.5447,133.385,1673721396
maxixe,MZ,80.42,83,40,5.75,-23.8597,35.3472,1673721397
sistranda,NO,31.96,76,29,22.03,63.7256,8.834,1673721397
bali chak,IN,66.72,60,0,2.24,22.3667,87.55,1673721398
kholodnyy,RU,-33.5,97,100,4.09,62.7167,147.95,1673721398
sonari,IN,57.69,82,94,2.93,27.0667,95.0333,1673721398
mareeba,AU,72.45,97,98,2.42,-17.0,145.4333,1673721399
alepe,CI,84.07,75,5,6.91,5.5004,-3.6631,1673721399
lohja,FI,39.18,100,100,12.68,60.2486,24.0653,1673721399
miechow,PL,42.15,83,100,6.85,50.3565,20.0279,1673721400
