City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
acarau,BR,-2.8856,84.88,64,78,19.06,1673721351
college,US,64.8569,-12.93,76,20,0.0,1673721352
kilrush,IE,52.6397,38.95,65,21,28.45,1673721352
caraz,PE,-9.0486,67.42,74,87,7.92,1673721352
khandbari,NP,27.3747,48.34,59,0,3.38,1673721352
clyde river,CA,70.4692,-19.97,69,100,11.5,1673721353
sicuani,PE,-14.2694,65.35,19,0,6.15,1673721353
keflavik,IS,64.0049,21.63,63,0,6.91,1673721353
riyadh,SA,24.6877,57.34,79,0,11.5,1673721314
saint george,US,37.1041,43.39,75,75,9.22,1673721353
muros,ES,42.7762,59.85,83,98,22.44,1673721315
goderich,CA,43.7501,26.91,68,3,12.66,1673721354
kamen-rybolov,RU,44.7481,-11.78,96,100,0.31,1673721354
porbandar,IN,21.6422,63.82,43,0,11.97,1673721354
pacifica,US,37.6138,58.62,93,100,26.46,1673721354
rocky mountain house,CA,52.3668,17.71,86,93,0.0,1673721355
leshukonskoye,RU,64.8989,29.16,94,100,9.26,1673721355
palmer,US,42.1584,34.47,69,100,17.27,1673721355
hami,CN,42.8,7.72,43,5,0.76,1673721356
danjiangkou,CN,32.5428,33.94,46,93,10.27,1673721356
kafue,ZM,-15.7691,67.12,95,100,3.49,1673721356
ust-nera,RU,64.5667,-32.24,99,100,4.94,1673721356
stuttgart,DE,48.7823,53.76,76,0,9.22,1673721357
isangel,VU,-19.55,77.49,79,11,10.09,1673721357
luganville,VU,-15.5333,76.19,90,96,2.01,1673721357
ola,RU,59.5833,-9.98,98,100,13.27,1673721358
otofuke,JP,42.9917,19.0,73,100,8.34,1673721358
igarka,RU,67.4667,-39.42,96,64,4.16,1673721358
kitui,KE,-1.367,64.56,60,8,4.85,1673721358
kerman,IR,30.2832,35.46,69,0,0.0,1673721359
machinga,MW,-15.1685,68.94,93,100,2.19,1673721359
san andres,CO,12.5847,84.22,65,20,12.66,1673721359
cabo san lucas,MX,22.8909,80.62,59,0,3.44,1673721189
mayya,RU,61.7333,-56.88,100,95,2.57,1673721359
bichena,ET,10.45,57.7,46,7,6.2,1673721360
kalevala,RU,65.2,33.31,99,100,6.96,1673721360
ketchikan,US,55.3422,43.27,100,100,6.91,1673721360
nagod,IN,24.5667,54.03,77,0,5.66,1673721361
korla,CN,41.7597,9.66,95,100,1.43,1673721361
inyonga,TZ,-6.7167,65.03,93,100,2.46,1673721361
touros,BR,-5.1989,83.12,65,100,15.86,1673721328
rio cuarto,AR,-33.1307,88.34,30,20,6.91,1673721362
kashary,RU,49.04,23.5,83,100,16.02,1673721362
yerbogachen,RU,61.2767,-60.7,100,69,1.05,1673721363
bossangoa,CF,6.4926,78.78,21,11,4.21,1673721363
abatskoye,RU,56.2875,12.81,93,94,11.5,1673721363
silale,LT,55.4906,40.06,88,100,10.87,1673721357
faya,SA,18.3851,55.51,81,100,4.72,1673721364
sisimiut,GL,66.9395,10.69,65,21,15.7,1673721365
ulaangom,MN,49.9811,-21.69,98,96,2.37,1673721365
jining,CN,35.405,22.35,35,18,8.63,1673721365
fasa,IR,28.9383,47.44,81,40,0.0,1673721366
matagami,CA,49.7502,3.31,78,75,0.0,1673721366
pervoye maya,RU,56.164,16.05,87,98,11.54,1673721366
salamiyah,SY,35.0113,46.65,80,64,5.14,1673721368
abu kamal,SY,34.4506,50.22,79,60,5.73,1673721369
mobaye,CF,4.319,77.36,34,19,2.71,1673721369
hammerfest,NO,70.6634,28.85,69,10,5.75,1673721369
quepos,CR,9.4236,83.59,66,65,6.02,1673721370
brae,GB,60.3964,41.47,82,100,27.16,1673721371
arklow,IE,52.7931,40.08,77,15,22.59,1673721372
marzuq,YE,14.4,60.89,81,5,6.91,1673721373
dicabisagan,PH,17.0818,73.9,90,41,1.72,1673721373
kultuk,RU,51.7208,-3.01,84,89,5.39,1673721374
kingman,US,35.1894,57.74,36,20,12.66,1673721126
szczecin,PL,53.4289,46.29,90,100,18.01,1673721374
umm kaddadah,SD,13.6017,63.9,23,100,12.86,1673721374
inhambane,MZ,-23.865,80.58,83,40,5.75,1673721375
batangafo,CF,7.3008,79.65,20,17,3.62,1673721376
zavet,BG,43.7667,39.42,89,100,2.84,1673721376
vulcana bai,RO,45.0833,37.17,99,99,1.63,1673721377
oranjestad,AW,12.524,82.35,74,75,12.66,1673721377
bayonet point,US,28.3267,54.03,67,6,8.01,1673721377
darnah,LY,32.767,58.33,68,100,8.95,1673721377
arawa,PG,-6.2132,76.21,90,100,3.6,1673721378
changchun,CN,43.88,-11.24,85,1,1.52,1673721378
codrington,AU,-38.2667,60.55,63,99,16.98,1673721379
hualmay,PE,-11.0964,74.77,69,44,10.22,1673721379
makakilo city,US,21.3469,71.62,83,0,5.75,1673721379
yongzhou,CN,26.4559,38.75,70,100,11.83,1673721380
hellin,ES,38.5106,48.15,53,0,1.28,1673721381
banapur,IN,19.7833,69.55,82,0,4.29,1673721381
ermelo,ZA,-26.5333,58.82,83,6,6.22,1673721205
damara,CF,4.9608,80.51,24,73,2.51,1673721382
nizwa,OM,22.9333,65.21,47,10,1.83,1673721382
jaciara,BR,-15.9653,77.04,88,100,2.77,1673721383
shahdadkot,PK,27.8477,49.06,15,0,3.6,1673721383
bela,IN,25.9333,55.27,80,0,9.06,1673721384
elban,RU,50.1018,-24.27,100,93,2.1,1673721384
san rafael del sur,NI,11.8485,88.77,31,21,16.93,1673721384
monywa,MM,22.1167,63.5,56,0,5.21,1673721385
uaua,BR,-9.8414,93.29,28,30,7.52,1673721173
martapura,ID,-3.4167,77.09,100,100,1.14,1673721385
shelton,US,41.3165,35.53,73,100,19.57,1673721362
belmira,CO,6.6051,62.96,73,89,0.74,1673721386
ucluelet,CA,48.9329,50.09,94,100,9.84,1673721386
vinkovci,HR,45.2883,38.25,93,0,5.75,1673721386
oga,IT,46.4631,32.54,74,93,4.47,1673721387
salinopolis,BR,-0.6136,82.13,73,99,9.15,1673721387
plettenberg bay,ZA,-34.0527,66.88,84,9,2.46,1673721387
xunchang,CN,28.4543,34.84,97,100,4.65,1673721388
umba,RU,66.6871,32.94,99,100,9.66,1673721389
thurso,GB,58.5927,39.85,97,100,21.79,1673721389
sao joaquim,BR,-28.2939,69.21,85,28,2.21,1673721280
bahia blanca,AR,-38.7196,100.29,10,0,1.99,1673721390
jimenez,MX,28.3333,70.75,16,0,9.57,1673721390
sciacca,IT,37.5082,54.64,83,100,10.07,1673721390
outjo,NA,-20.1167,82.2,29,100,5.39,1673721391
kudahuvadhoo,MV,2.6708,80.04,69,79,7.0,1673721391
miramar,US,25.9873,60.03,49,0,19.57,1673721391
bombay,IN,19.0144,67.98,52,5,4.61,1673721368
odweyne,SO,9.4092,69.42,64,1,7.29,1673721392
kaeo,NZ,-35.1,62.33,93,19,8.66,1673721392
okha,RU,53.5739,-22.9,85,1,12.37,1673721392
raton,US,36.9034,57.54,22,0,0.0,1673721392
ilulissat,GL,69.2167,6.82,47,75,2.3,1673721393
mandera,KE,3.9366,84.47,28,100,9.42,1673721393
saint anthony,US,45.0205,30.29,77,0,13.8,1673721393
killybegs,IE,54.6333,38.91,62,58,29.71,1673721393
cervo,ES,43.6702,59.45,73,100,23.47,1673721394
evensk,RU,61.95,9.43,64,100,20.31,1673721394
peleduy,RU,59.6289,-25.74,98,100,2.77,1673721394
bitung,ID,1.4451,81.45,81,92,3.0,1673721395
porto walter,BR,-8.2686,87.37,51,100,6.93,1673721395
west bay,KY,19.3667,80.67,55,20,13.8,1673721395
ribeira brava,PT,32.65,65.03,76,60,1.72,1673721396
shubarkuduk,KZ,49.1447,3.42,96,27,5.66,1673721396
verkhoyansk,RU,67.5447,-47.0,99,100,1.97,1673721396
maxixe,MZ,-23.8597,80.42,83,40,5.75,1673721397
sistranda,NO,63.7256,31.96,76,29,22.03,1673721397
bali chak,IN,22.3667,66.72,60,0,2.24,1673721398
kholodnyy,RU,62.7167,-33.5,97,100,4.09,1673721398
sonari,IN,27.0667,57.69,82,94,2.93,1673721398
mareeba,AU,-17.0,72.45,97,98,2.42,1673721399
alepe,CI,5.5004,84.07,75,5,6.91,1673721399
lohja,FI,60.2486,39.18,100,100,12.68,1673721399
miechow,PL,50.3565,42.15,83,100,6.85,1673721400
